from_currency_code,from_currency_name,to_currency_code,to_currency_name,exchange_rate,last_refreshed,time_zone
JPY,Japanese Yen,USD,United States Dollar,0.00898742,2018-08-17 15:45:02,UTC
CHF,Swiss Franc,USD,United States Dollar,1.00390015,2018-08-17 15:45:33,UTC
GBP,British Pound Sterling,USD,United States Dollar,1.27000415,2018-08-17 15:46:04,UTC
EUR,Euro,USD,United States Dollar,1.13266446,2018-08-17 15:46:34,UTC
JPY,Japanese Yen,USD,United States Dollar,0.00898742,2018-08-17 16:00:05,UTC
EUR,Euro,USD,United States Dollar,1.13266446,2018-08-17 16:00:35,UTC
GBP,British Pound Sterling,USD,United States Dollar,1.27000415,2018-08-17 16:01:07,UTC
CHF,Swiss Franc,USD,United States Dollar,1.00390015,2018-08-17 16:01:41,UTC
JPY,Japanese Yen,USD,United States Dollar,0.00898742,2018-08-17 16:15:02,UTC
EUR,Euro,USD,United States Dollar,1.13266446,2018-08-17 16:15:33,UTC
CHF,Swiss Franc,USD,United States Dollar,1.00390015,2018-08-17 16:16:03,UTC
GBP,British Pound Sterling,USD,United States Dollar,1.27000415,2018-08-17 16:16:34,UTC
CHF,Swiss Franc,USD,United States Dollar,1.00390015,2018-08-17 16:45:02,UTC
JPY,Japanese Yen,USD,United States Dollar,0.00898742,2018-08-17 16:45:32,UTC
GBP,British Pound Sterling,USD,United States Dollar,1.27000415,2018-08-17 16:46:03,UTC
EUR,Euro,USD,United States Dollar,1.13266446,2018-08-17 16:46:33,UTC
GBP,British Pound Sterling,USD,United States Dollar,1.27000415,2018-08-17 17:00:02,UTC
CHF,Swiss Franc,USD,United States Dollar,1.00390015,2018-08-17 17:00:32,UTC
JPY,Japanese Yen,USD,United States Dollar,0.00898742,2018-08-17 17:01:02,UTC
EUR,Euro,USD,United States Dollar,1.13266446,2018-08-17 17:01:32,UTC
CHF,Swiss Franc,USD,United States Dollar,1.00390015,2018-08-17 17:15:02,UTC
JPY,Japanese Yen,USD,United States Dollar,0.00898742,2018-08-17 17:15:32,UTC
GBP,British Pound Sterling,USD,United States Dollar,1.27000415,2018-08-17 17:16:03,UTC
EUR,Euro,USD,United States Dollar,1.13266446,2018-08-17 17:16:33,UTC
CHF,Swiss Franc,USD,United States Dollar,1.00390015,2018-08-17 17:30:02,UTC
